Ti(ppm);B(ppm);Al(ppm);N(ppm);O(ppm);Temp;Charpy
420;48;160;67;438;-100;29
420;48;160;67;438;-90;65
420;48;160;67;438;-80;112
420;48;160;67;438;-70;146
420;48;160;67;438;-60;166
420;48;160;67;438;-50;178
420;48;160;67;438;-40;190
420;48;160;67;438;-30;202
420;48;160;67;438;-20;214
420;48;160;67;438;-10;226
420;48;160;67;438;0;237
420;48;160;67;438;10;240
420;48;160;67;438;20;240
420;48;160;67;438;30;240
420;48;160;67;438;40;240
460;51;310;60;482;-120;14
460;51;310;60;482;-110;16
460;51;310;60;482;-100;19
460;51;310;60;482;-90;26
460;51;310;60;482;-80;34
460;51;310;60;482;-70;46
460;51;310;60;482;-60;70
460;51;310;60;482;-50;96
460;51;310;60;482;-40;122
460;51;310;60;482;-30;148
460;51;310;60;482;-20;170
460;51;310;60;482;-10;181
460;51;310;60;482;0;184
460;51;310;60;482;10;184
460;51;310;60;482;20;184
460;51;310;60;482;30;184
460;51;310;60;482;40;184
440;54;380;53;473;-120;2
440;54;380;53;473;-110;3
440;54;380;53;473;-100;6
440;54;380;53;473;-90;9
440;54;380;53;473;-80;14
440;54;380;53;473;-70;26
440;54;380;53;473;-60;42
440;54;380;53;473;-50;62
440;54;380;53;473;-40;91
440;54;380;53;473;-30;122
440;54;380;53;473;-20;154
440;54;380;53;473;-10;182
440;54;380;53;473;0;186
440;54;380;53;473;10;188
440;54;380;53;473;20;189
440;54;380;53;473;30;189
440;54;380;53;473;40;189
370;40;5;149;281;-120;5
370;40;5;149;281;-110;6
370;40;5;149;281;-100;9
370;40;5;149;281;-90;12
370;40;5;149;281;-80;19
370;40;5;149;281;-70;33
370;40;5;149;281;-60;59
370;40;5;149;281;-50;93
370;40;5;149;281;-40;125
370;40;5;149;281;-30;149
370;40;5;149;281;-20;159
370;40;5;149;281;-10;164
370;40;5;149;281;0;166
370;40;5;149;281;10;168
370;40;5;149;281;20;168
370;40;5;149;281;30;168
370;40;5;149;281;40;168
410;36;61;150;382;-120;2
410;36;61;150;382;-110;2
410;36;61;150;382;-100;2
410;36;61;150;382;-90;3
410;36;61;150;382;-80;6
410;36;61;150;382;-70;14
410;36;61;150;382;-60;49
410;36;61;150;382;-50;84
410;36;61;150;382;-40;118
410;36;61;150;382;-30;142
410;36;61;150;382;-20;155
410;36;61;150;382;-10;167
410;36;61;150;382;0;180
410;36;61;150;382;10;190
410;36;61;150;382;20;200
410;36;61;150;382;30;205
410;36;61;150;382;40;206
470;37;170;130;439;-120;2
470;37;170;130;439;-110;2
470;37;170;130;439;-100;2
470;37;170;130;439;-90;5
470;37;170;130;439;-80;7
470;37;170;130;439;-70;18
470;37;170;130;439;-60;35
470;37;170;130;439;-50;70
470;37;170;130;439;-40;112
470;37;170;130;439;-30;149
470;37;170;130;439;-20;173
470;37;170;130;439;-10;187
470;37;170;130;439;0;195
470;37;170;130;439;10;198
470;37;170;130;439;20;200
470;37;170;130;439;30;200
470;37;170;130;439;40;200
490;41;330;120;489;-120;2
490;41;330;120;489;-110;2
490;41;330;120;489;-100;3
490;41;330;120;489;-90;10
490;41;330;120;489;-80;24
490;41;330;120;489;-70;66
490;41;330;120;489;-60;99
490;41;330;120;489;-50;134
490;41;330;120;489;-40;156
490;41;330;120;489;-30;171
490;41;330;120;489;-20;184
490;41;330;120;489;-10;194
490;41;330;120;489;0;204
490;41;330;120;489;10;206
490;41;330;120;489;20;208
490;41;330;120;489;30;208
490;41;330;120;489;40;208
460;48;460;120;479;-120;2
460;48;460;120;479;-110;2
460;48;460;120;479;-100;6
460;48;460;120;479;-90;14
460;48;460;120;479;-80;28
460;48;460;120;479;-70;53
460;48;460;120;479;-60;85
460;48;460;120;479;-50;117
460;48;460;120;479;-40;142
460;48;460;120;479;-30;162
460;48;460;120;479;-20;178
460;48;460;120;479;-10;187
460;48;460;120;479;0;192
460;48;460;120;479;10;192
460;48;460;120;479;20;192
460;48;460;120;479;30;192
460;48;460;120;479;40;192
410;44;5;232;292;-120;13
410;44;5;232;292;-110;14
410;44;5;232;292;-100;15
410;44;5;232;292;-90;17
410;44;5;232;292;-80;18
410;44;5;232;292;-70;19
410;44;5;232;292;-60;24
410;44;5;232;292;-50;36
410;44;5;232;292;-40;54
410;44;5;232;292;-30;82
410;44;5;232;292;-20;110
410;44;5;232;292;-10;133
410;44;5;232;292;0;144
410;44;5;232;292;10;144
410;44;5;232;292;20;144
410;44;5;232;292;30;144
410;44;5;232;292;40;144
500;38;62;245;412;-120;2
500;38;62;245;412;-110;2
500;38;62;245;412;-100;2
500;38;62;245;412;-90;2
500;38;62;245;412;-80;2
500;38;62;245;412;-70;2
500;38;62;245;412;-60;3
500;38;62;245;412;-50;5
500;38;62;245;412;-40;12
500;38;62;245;412;-30;34
500;38;62;245;412;-20;56
500;38;62;245;412;-10;82
500;38;62;245;412;0;110
500;38;62;245;412;10;131
500;38;62;245;412;20;146
500;38;62;245;412;30;154
500;38;62;245;412;40;158
470;45;180;230;440;-120;2
470;45;180;230;440;-110;2
470;45;180;230;440;-100;2
470;45;180;230;440;-90;2
470;45;180;230;440;-80;2
470;45;180;230;440;-70;2
470;45;180;230;440;-60;3
470;45;180;230;440;-50;7
470;45;180;230;440;-40;11
470;45;180;230;440;-30;18
470;45;180;230;440;-20;27
470;45;180;230;440;-10;38
470;45;180;230;440;0;59
470;45;180;230;440;10;86
470;45;180;230;440;20;121
470;45;180;230;440;30;142
470;45;180;230;440;40;154
410;35;380;225;478;-120;2
410;35;380;225;478;-110;2
410;35;380;225;478;-100;2
410;35;380;225;478;-90;3
410;35;380;225;478;-80;5
410;35;380;225;478;-70;7
410;35;380;225;478;-60;14
410;35;380;225;478;-50;23
410;35;380;225;478;-40;36
410;35;380;225;478;-30;51
410;35;380;225;478;-20;80
410;35;380;225;478;-10;112
410;35;380;225;478;0;143
410;35;380;225;478;10;150
410;35;380;225;478;20;155
410;35;380;225;478;30;158
410;35;380;225;478;40;162
430;35;560;235;470;-120;2
430;35;560;235;470;-110;2
430;35;560;235;470;-100;2
430;35;560;235;470;-90;2
430;35;560;235;470;-80;6
430;35;560;235;470;-70;29
430;35;560;235;470;-60;59
430;35;560;235;470;-50;88
430;35;560;235;470;-40;113
430;35;560;235;470;-30;134
430;35;560;235;470;-20;149
430;35;560;235;470;-10;158
430;35;560;235;470;0;164
430;35;560;235;470;10;168
430;35;560;235;470;20;170
430;35;560;235;470;30;170
430;35;560;235;470;40;170
5;1;5;94;449;-120;2
5;1;5;94;449;-110;2
5;1;5;94;449;-100;2
5;1;5;94;449;-90;2
5;1;5;94;449;-80;3
5;1;5;94;449;-70;6
5;1;5;94;449;-60;9
5;1;5;94;449;-50;18
5;1;5;94;449;-40;30
5;1;5;94;449;-30;42
5;1;5;94;449;-20;64
5;1;5;94;449;-10;121
5;1;5;94;449;0;158
5;1;5;94;449;10;166
5;1;5;94;449;20;174
5;1;5;94;449;30;180
5;1;5;94;449;40;186
2;16;5;86;456;-120;1
2;16;5;86;456;-110;2
2;16;5;86;456;-100;2
2;16;5;86;456;-90;3
2;16;5;86;456;-80;5
2;16;5;86;456;-70;6
2;16;5;86;456;-60;13
2;16;5;86;456;-50;26
2;16;5;86;456;-40;38
2;16;5;86;456;-30;54
2;16;5;86;456;-20;74
2;16;5;86;456;-10;103
2;16;5;86;456;0;126
2;16;5;86;456;10;142
2;16;5;86;456;20;153
2;16;5;86;456;30;162
2;16;5;86;456;40;166
2;28;5;84;452;-120;2
2;28;5;84;452;-110;3
2;28;5;84;452;-100;4
2;28;5;84;452;-90;5
2;28;5;84;452;-80;6
2;28;5;84;452;-70;8
2;28;5;84;452;-60;19
2;28;5;84;452;-50;36
2;28;5;84;452;-40;51
2;28;5;84;452;-30;70
2;28;5;84;452;-20;88
2;28;5;84;452;-10;108
2;28;5;84;452;0;126
2;28;5;84;452;10;144
2;28;5;84;452;20;158
2;28;5;84;452;30;171
2;28;5;84;452;40;178
5;64;5;74;511;-120;4
5;64;5;74;511;-110;5
5;64;5;74;511;-100;6
5;64;5;74;511;-90;6
5;64;5;74;511;-80;10
5;64;5;74;511;-70;18
5;64;5;74;511;-60;34
5;64;5;74;511;-50;52
5;64;5;74;511;-40;70
5;64;5;74;511;-30;87
5;64;5;74;511;-20;102
5;64;5;74;511;-10;117
5;64;5;74;511;0;130
5;64;5;74;511;10;142
5;64;5;74;511;20;155
5;64;5;74;511;30;166
5;64;5;74;511;40;176
5;109;5;63;493;-120;2
5;109;5;63;493;-110;2
5;109;5;63;493;-100;3
5;109;5;63;493;-90;8
5;109;5;63;493;-80;21
5;109;5;63;493;-70;40
5;109;5;63;493;-60;58
5;109;5;63;493;-50;77
5;109;5;63;493;-40;96
5;109;5;63;493;-30;112
5;109;5;63;493;-20;130
5;109;5;63;493;-10;148
5;109;5;63;493;0;165
5;109;5;63;493;10;178
5;109;5;63;493;20;187
5;109;5;63;493;30;196
5;109;5;63;493;40;202
5;146;5;83;489;-120;2
5;146;5;83;489;-110;6
5;146;5;83;489;-100;16
5;146;5;83;489;-90;32
5;146;5;83;489;-80;51
5;146;5;83;489;-70;70
5;146;5;83;489;-60;86
5;146;5;83;489;-50;100
5;146;5;83;489;-40;118
5;146;5;83;489;-30;137
5;146;5;83;489;-20;149
5;146;5;83;489;-10;154
5;146;5;83;489;0;156
5;146;5;83;489;10;156
5;146;5;83;489;20;156
5;146;5;83;489;30;156
5;146;5;83;489;40;156
5;195;5;85;503;-120;3
5;195;5;85;503;-110;6
5;195;5;85;503;-100;10
5;195;5;85;503;-90;16
5;195;5;85;503;-80;24
5;195;5;85;503;-70;34
5;195;5;85;503;-60;51
5;195;5;85;503;-50;70
5;195;5;85;503;-40;88
5;195;5;85;503;-30;107
5;195;5;85;503;-20;125
5;195;5;85;503;-10;141
5;195;5;85;503;0;155
5;195;5;85;503;10;169
5;195;5;85;503;20;175
5;195;5;85;503;30;179
5;195;5;85;503;40;181
35;3;5;79;443;-120;3
35;3;5;79;443;-110;5
35;3;5;79;443;-100;10
35;3;5;79;443;-90;24
35;3;5;79;443;-80;56
35;3;5;79;443;-70;91
35;3;5;79;443;-60;122
35;3;5;79;443;-50;146
35;3;5;79;443;-40;162
35;3;5;79;443;-30;174
35;3;5;79;443;-20;184
35;3;5;79;443;-10;191
35;3;5;79;443;0;196
35;3;5;79;443;10;200
35;3;5;79;443;20;202
35;3;5;79;443;30;202
35;3;5;79;443;40;202
33;33;5;70;470;-120;7
33;33;5;70;470;-110;10
33;33;5;70;470;-100;18
33;33;5;70;470;-90;36
33;33;5;70;470;-80;57
33;33;5;70;470;-70;78
33;33;5;70;470;-60;99
33;33;5;70;470;-50;119
33;33;5;70;470;-40;137
33;33;5;70;470;-30;154
33;33;5;70;470;-20;165
33;33;5;70;470;-10;186
33;33;5;70;470;0;192
33;33;5;70;470;10;194
33;33;5;70;470;20;194
33;33;5;70;470;30;194
33;33;5;70;470;40;194
34;70;5;74;466;-120;5
34;70;5;74;466;-110;8
34;70;5;74;466;-100;14
34;70;5;74;466;-90;22
34;70;5;74;466;-80;33
34;70;5;74;466;-70;50
34;70;5;74;466;-60;75
34;70;5;74;466;-50;116
34;70;5;74;466;-40;142
34;70;5;74;466;-30;159
34;70;5;74;466;-20;170
34;70;5;74;466;-10;176
34;70;5;74;466;0;179
34;70;5;74;466;10;181
34;70;5;74;466;20;181
34;70;5;74;466;30;181
34;70;5;74;466;40;181
36;112;5;71;447;-120;4
36;112;5;71;447;-110;8
36;112;5;71;447;-100;16
36;112;5;71;447;-90;35
36;112;5;71;447;-80;58
36;112;5;71;447;-70;86
36;112;5;71;447;-60;114
36;112;5;71;447;-50;135
36;112;5;71;447;-40;153
36;112;5;71;447;-30;164
36;112;5;71;447;-20;174
36;112;5;71;447;-10;182
36;112;5;71;447;0;187
36;112;5;71;447;10;187
36;112;5;71;447;20;187
36;112;5;71;447;30;187
36;112;5;71;447;40;187
38;140;5;75;449;-120;3
38;140;5;75;449;-110;8
38;140;5;75;449;-100;14
38;140;5;75;449;-90;26
38;140;5;75;449;-80;42
38;140;5;75;449;-70;69
38;140;5;75;449;-60;101
38;140;5;75;449;-50;131
38;140;5;75;449;-40;155
38;140;5;75;449;-30;167
38;140;5;75;449;-20;173
38;140;5;75;449;-10;174
38;140;5;75;449;0;177
38;140;5;75;449;10;178
38;140;5;75;449;20;178
38;140;5;75;449;30;178
38;140;5;75;449;40;178
45;192;5;71;435;-120;3
45;192;5;71;435;-110;5
45;192;5;71;435;-100;7
45;192;5;71;435;-90;10
45;192;5;71;435;-80;19
45;192;5;71;435;-70;53
45;192;5;71;435;-60;76
45;192;5;71;435;-50;100
45;192;5;71;435;-40;121
45;192;5;71;435;-30;137
45;192;5;71;435;-20;150
45;192;5;71;435;-10;159
45;192;5;71;435;0;165
45;192;5;71;435;10;169
45;192;5;71;435;20;171
45;192;5;71;435;30;171
45;192;5;71;435;40;171
120;2;5;84;337;-120;7
120;2;5;84;337;-110;10
120;2;5;84;337;-100;13
120;2;5;84;337;-90;15
120;2;5;84;337;-80;18
120;2;5;84;337;-70;20
120;2;5;84;337;-60;23
120;2;5;84;337;-50;60
120;2;5;84;337;-40;115
120;2;5;84;337;-30;150
120;2;5;84;337;-20;161
120;2;5;84;337;-10;171
120;2;5;84;337;0;182
120;2;5;84;337;10;193
120;2;5;84;337;20;203
120;2;5;84;337;30;210
120;2;5;84;337;40;214
130;38;5;68;370;-120;2
130;38;5;68;370;-110;3
130;38;5;68;370;-100;4
130;38;5;68;370;-90;8
130;38;5;68;370;-80;22
130;38;5;68;370;-70;46
130;38;5;68;370;-60;86
130;38;5;68;370;-50;132
130;38;5;68;370;-40;159
130;38;5;68;370;-30;179
130;38;5;68;370;-20;198
130;38;5;68;370;-10;211
130;38;5;68;370;0;219
130;38;5;68;370;10;221
130;38;5;68;370;20;221
130;38;5;68;370;30;221
130;38;5;68;370;40;221
110;71;5;69;380;-120;2
110;71;5;69;380;-110;3
110;71;5;69;380;-100;5
110;71;5;69;380;-90;11
110;71;5;69;380;-80;27
110;71;5;69;380;-70;53
110;71;5;69;380;-60;88
110;71;5;69;380;-50;122
110;71;5;69;380;-40;147
110;71;5;69;380;-30;165
110;71;5;69;380;-20;179
110;71;5;69;380;-10;188
110;71;5;69;380;0;194
110;71;5;69;380;10;194
110;71;5;69;380;20;194
110;71;5;69;380;30;194
110;71;5;69;380;40;194
130;112;5;84;339;-120;4
130;112;5;84;339;-110;4
130;112;5;84;339;-100;4
130;112;5;84;339;-90;15
130;112;5;84;339;-80;50
130;112;5;84;339;-70;84
130;112;5;84;339;-60;115
130;112;5;84;339;-50;142
130;112;5;84;339;-40;168
130;112;5;84;339;-30;182
130;112;5;84;339;-20;190
130;112;5;84;339;-10;192
130;112;5;84;339;0;192
130;112;5;84;339;10;192
130;112;5;84;339;20;192
130;112;5;84;339;30;192
130;112;5;84;339;40;192
120;148;5;75;351;-120;3
120;148;5;75;351;-110;3
120;148;5;75;351;-100;3
120;148;5;75;351;-90;12
120;148;5;75;351;-80;35
120;148;5;75;351;-70;62
120;148;5;75;351;-60;100
120;148;5;75;351;-50;130
120;148;5;75;351;-40;150
120;148;5;75;351;-30;162
120;148;5;75;351;-20;172
120;148;5;75;351;-10;179
120;148;5;75;351;0;182
120;148;5;75;351;10;182
120;148;5;75;351;20;182
120;148;5;75;351;30;182
120;148;5;75;351;40;182
120;195;5;80;367;-120;2
120;195;5;80;367;-110;3
120;195;5;80;367;-100;6
120;195;5;80;367;-90;6
120;195;5;80;367;-80;8
120;195;5;80;367;-70;10
120;195;5;80;367;-60;15
120;195;5;80;367;-50;41
120;195;5;80;367;-40;100
120;195;5;80;367;-30;134
120;195;5;80;367;-20;150
120;195;5;80;367;-10;160
120;195;5;80;367;0;167
120;195;5;80;367;10;173
120;195;5;80;367;20;179
120;195;5;80;367;30;186
120;195;5;80;367;40;189
260;2;5;77;291;-120;2
260;2;5;77;291;-110;2
260;2;5;77;291;-100;3
260;2;5;77;291;-90;4
260;2;5;77;291;-80;10
260;2;5;77;291;-70;31
260;2;5;77;291;-60;83
260;2;5;77;291;-50;125
260;2;5;77;291;-40;163
260;2;5;77;291;-30;181
260;2;5;77;291;-20;191
260;2;5;77;291;-10;200
260;2;5;77;291;0;209
260;2;5;77;291;10;214
260;2;5;77;291;20;220
260;2;5;77;291;30;225
260;2;5;77;291;40;226
260;21;5;70;314;-120;2
260;21;5;70;314;-110;2
260;21;5;70;314;-100;9
260;21;5;70;314;-90;39
260;21;5;70;314;-80;70
260;21;5;70;314;-70;107
260;21;5;70;314;-60;139
260;21;5;70;314;-50;177
260;21;5;70;314;-40;194
260;21;5;70;314;-30;221
260;21;5;70;314;-20;232
260;21;5;70;314;-10;234
260;21;5;70;314;0;234
260;21;5;70;314;10;234
260;21;5;70;314;20;234
260;21;5;70;314;30;234
260;21;5;70;314;40;234
290;46;5;69;292;-120;3
290;46;5;69;292;-110;4
290;46;5;69;292;-100;11
290;46;5;69;292;-90;86
290;46;5;69;292;-80;110
290;46;5;69;292;-70;140
290;46;5;69;292;-60;165
290;46;5;69;292;-50;180
290;46;5;69;292;-40;194
290;46;5;69;292;-30;204
290;46;5;69;292;-20;211
290;46;5;69;292;-10;214
290;46;5;69;292;0;216
290;46;5;69;292;10;216
290;46;5;69;292;20;216
290;46;5;69;292;30;216
290;46;5;69;292;40;216
270;91;5;75;255;-120;4
270;91;5;75;255;-110;6
270;91;5;75;255;-100;15
270;91;5;75;255;-90;53
270;91;5;75;255;-80;102
270;91;5;75;255;-70;134
270;91;5;75;255;-60;163
270;91;5;75;255;-50;180
270;91;5;75;255;-40;190
270;91;5;75;255;-30;198
270;91;5;75;255;-20;204
270;91;5;75;255;-10;208
270;91;5;75;255;0;211
270;91;5;75;255;10;212
270;91;5;75;255;20;213
270;91;5;75;255;30;214
270;91;5;75;255;40;214
270;126;5;72;269;-120;2
270;126;5;72;269;-110;2
270;126;5;72;269;-100;6
270;126;5;72;269;-90;35
270;126;5;72;269;-80;70
270;126;5;72;269;-70;98
270;126;5;72;269;-60;122
270;126;5;72;269;-50;146
270;126;5;72;269;-40;166
270;126;5;72;269;-30;180
270;126;5;72;269;-20;191
270;126;5;72;269;-10;200
270;126;5;72;269;0;206
270;126;5;72;269;10;206
270;126;5;72;269;20;208
270;126;5;72;269;30;208
270;126;5;72;269;40;208
250;169;5;63;253;-120;1
250;169;5;63;253;-110;2
250;169;5;63;253;-100;2
250;169;5;63;253;-90;6
250;169;5;63;253;-80;26
250;169;5;63;253;-70;50
250;169;5;63;253;-60;74
250;169;5;63;253;-50;104
250;169;5;63;253;-40;128
250;169;5;63;253;-30;149
250;169;5;63;253;-20;166
250;169;5;63;253;-10;178
250;169;5;63;253;0;187
250;169;5;63;253;10;192
250;169;5;63;253;20;195
250;169;5;63;253;30;196
250;169;5;63;253;40;197
410;2;5;77;282;-120;2
410;2;5;77;282;-110;3
410;2;5;77;282;-100;4
410;2;5;77;282;-90;10
410;2;5;77;282;-80;38
410;2;5;77;282;-70;75
410;2;5;77;282;-60;114
410;2;5;77;282;-50;150
410;2;5;77;282;-40;178
410;2;5;77;282;-30;192
410;2;5;77;282;-20;202
410;2;5;77;282;-10;212
410;2;5;77;282;0;219
410;2;5;77;282;10;223
410;2;5;77;282;20;226
410;2;5;77;282;30;226
410;2;5;77;282;40;226
400;14;5;68;286;-120;3
400;14;5;68;286;-110;6
400;14;5;68;286;-100;12
400;14;5;68;286;-90;54
400;14;5;68;286;-80;94
400;14;5;68;286;-70;133
400;14;5;68;286;-60;154
400;14;5;68;286;-50;170
400;14;5;68;286;-40;186
400;14;5;68;286;-30;202
400;14;5;68;286;-20;208
400;14;5;68;286;-10;224
400;14;5;68;286;0;226
400;14;5;68;286;10;227
400;14;5;68;286;20;227
400;14;5;68;286;30;227
400;14;5;68;286;40;227
410;29;5;72;275;-120;2
410;29;5;72;275;-110;9
410;29;5;72;275;-100;38
410;29;5;72;275;-90;72
410;29;5;72;275;-80;106
410;29;5;72;275;-70;139
410;29;5;72;275;-60;159
410;29;5;72;275;-50;169
410;29;5;72;275;-40;177
410;29;5;72;275;-30;184
410;29;5;72;275;-20;192
410;29;5;72;275;-10;200
410;29;5;72;275;0;207
410;29;5;72;275;10;213
410;29;5;72;275;20;213
410;29;5;72;275;30;213
410;29;5;72;275;40;213
370;41;5;69;282;-120;14
370;41;5;69;282;-110;39
370;41;5;69;282;-100;63
370;41;5;69;282;-90;86
370;41;5;69;282;-80;110
370;41;5;69;282;-70;130
370;41;5;69;282;-60;150
370;41;5;69;282;-50;170
370;41;5;69;282;-40;186
370;41;5;69;282;-30;199
370;41;5;69;282;-20;210
370;41;5;69;282;-10;220
370;41;5;69;282;0;229
370;41;5;69;282;10;232
370;41;5;69;282;20;234
370;41;5;69;282;30;234
370;41;5;69;282;40;234
390;51;5;85;297;-120;8
390;51;5;85;297;-110;22
390;51;5;85;297;-100;47
390;51;5;85;297;-90;76
390;51;5;85;297;-80;109
390;51;5;85;297;-70;137
390;51;5;85;297;-60;159
390;51;5;85;297;-50;170
390;51;5;85;297;-40;179
390;51;5;85;297;-30;189
390;51;5;85;297;-20;198
390;51;5;85;297;-10;206
390;51;5;85;297;0;214
390;51;5;85;297;10;219
390;51;5;85;297;20;222
390;51;5;85;297;30;224
390;51;5;85;297;40;224
430;108;5;79;298;-120;8
430;108;5;79;298;-110;11
430;108;5;79;298;-100;20
430;108;5;79;298;-90;49
430;108;5;79;298;-80;60
430;108;5;79;298;-70;79
430;108;5;79;298;-60;106
430;108;5;79;298;-50;134
430;108;5;79;298;-40;160
430;108;5;79;298;-30;180
430;108;5;79;298;-20;194
430;108;5;79;298;-10;198
430;108;5;79;298;0;198
430;108;5;79;298;10;198
430;108;5;79;298;20;198
430;108;5;79;298;30;198
430;108;5;79;298;40;198
390;158;5;84;290;-120;3
390;158;5;84;290;-110;4
390;158;5;84;290;-100;6
390;158;5;84;290;-90;10
390;158;5;84;290;-80;28
390;158;5;84;290;-70;51
390;158;5;84;290;-60;81
390;158;5;84;290;-50;110
390;158;5;84;290;-40;136
390;158;5;84;290;-30;154
390;158;5;84;290;-20;172
390;158;5;84;290;-10;188
390;158;5;84;290;0;201
390;158;5;84;290;10;208
390;158;5;84;290;20;212
390;158;5;84;290;30;214
390;158;5;84;290;40;216
580;1;5;75;292;-120;6
580;1;5;75;292;-110;6
580;1;5;75;292;-100;7
580;1;5;75;292;-90;10
580;1;5;75;292;-80;14
580;1;5;75;292;-70;24
580;1;5;75;292;-60;76
580;1;5;75;292;-50;124
580;1;5;75;292;-40;155
580;1;5;75;292;-30;171
580;1;5;75;292;-20;182
580;1;5;75;292;-10;194
580;1;5;75;292;0;204
580;1;5;75;292;10;212
580;1;5;75;292;20;218
580;1;5;75;292;30;223
580;1;5;75;292;40;226
520;32;5;84;294;-120;6
520;32;5;84;294;-110;14
520;32;5;84;294;-100;35
520;32;5;84;294;-90;62
520;32;5;84;294;-80;89
520;32;5;84;294;-70;114
520;32;5;84;294;-60;134
520;32;5;84;294;-50;150
520;32;5;84;294;-40;164
520;32;5;84;294;-30;175
520;32;5;84;294;-20;184
520;32;5;84;294;-10;192
520;32;5;84;294;0;197
520;32;5;84;294;10;201
520;32;5;84;294;20;202
520;32;5;84;294;30;202
520;32;5;84;294;40;202
610;59;5;82;280;-120;2
610;59;5;82;280;-110;3
610;59;5;82;280;-100;6
610;59;5;82;280;-90;13
610;59;5;82;280;-80;52
610;59;5;82;280;-70;84
610;59;5;82;280;-60;118
610;59;5;82;280;-50;148
610;59;5;82;280;-40;164
610;59;5;82;280;-30;178
610;59;5;82;280;-20;185
610;59;5;82;280;-10;188
610;59;5;82;280;0;190
610;59;5;82;280;10;191
610;59;5;82;280;20;192
610;59;5;82;280;30;192
610;59;5;82;280;40;192
610;95;5;63;298;-120;2
610;95;5;63;298;-110;2
610;95;5;63;298;-100;3
610;95;5;63;298;-90;11
610;95;5;63;298;-80;34
610;95;5;63;298;-70;62
610;95;5;63;298;-60;87
610;95;5;63;298;-50;113
610;95;5;63;298;-40;138
610;95;5;63;298;-30;155
610;95;5;63;298;-20;167
610;95;5;63;298;-10;174
610;95;5;63;298;0;180
610;95;5;63;298;10;182
610;95;5;63;298;20;182
610;95;5;63;298;30;182
610;95;5;63;298;40;182
640;122;5;78;305;-120;1
640;122;5;78;305;-110;2
640;122;5;78;305;-100;2
640;122;5;78;305;-90;3
640;122;5;78;305;-80;4
640;122;5;78;305;-70;14
640;122;5;78;305;-60;39
640;122;5;78;305;-50;71
640;122;5;78;305;-40;106
640;122;5;78;305;-30;131
640;122;5;78;305;-20;148
640;122;5;78;305;-10;162
640;122;5;78;305;0;174
640;122;5;78;305;10;179
640;122;5;78;305;20;182
640;122;5;78;305;30;182
640;122;5;78;305;40;182
660;155;5;71;320;-120;2
660;155;5;71;320;-110;3
660;155;5;71;320;-100;4
660;155;5;71;320;-90;6
660;155;5;71;320;-80;11
660;155;5;71;320;-70;16
660;155;5;71;320;-60;22
660;155;5;71;320;-50;30
660;155;5;71;320;-40;54
660;155;5;71;320;-30;85
660;155;5;71;320;-20;118
660;155;5;71;320;-10;145
660;155;5;71;320;0;165
660;155;5;71;320;10;174
660;155;5;71;320;20;178
660;155;5;71;320;30;178
660;155;5;71;320;40;178
5;5;5;145;402;-120;1
5;5;5;145;402;-110;1
5;5;5;145;402;-100;2
5;5;5;145;402;-90;2
5;5;5;145;402;-80;2
5;5;5;145;402;-70;3
5;5;5;145;402;-60;4
5;5;5;145;402;-50;10
5;5;5;145;402;-40;15
5;5;5;145;402;-30;22
5;5;5;145;402;-20;32
5;5;5;145;402;-10;50
5;5;5;145;402;0;81
5;5;5;145;402;10;116
5;5;5;145;402;20;140
5;5;5;145;402;30;163
5;5;5;145;402;40;169
7;160;5;144;396;-120;3
7;160;5;144;396;-110;5
7;160;5;144;396;-100;6
7;160;5;144;396;-90;8
7;160;5;144;396;-80;10
7;160;5;144;396;-70;13
7;160;5;144;396;-60;20
7;160;5;144;396;-50;30
7;160;5;144;396;-40;46
7;160;5;144;396;-30;66
7;160;5;144;396;-20;93
7;160;5;144;396;-10;118
7;160;5;144;396;0;139
7;160;5;144;396;10;147
7;160;5;144;396;20;150
7;160;5;144;396;30;152
7;160;5;144;396;40;152
5;5;5;145;402;-120;1
5;5;5;145;402;-110;1
5;5;5;145;402;-100;2
5;5;5;145;402;-90;2
5;5;5;145;402;-80;2
5;5;5;145;402;-70;3
5;5;5;145;402;-60;4
5;5;5;145;402;-50;10
5;5;5;145;402;-40;15
5;5;5;145;402;-30;22
5;5;5;145;402;-20;32
5;5;5;145;402;-10;50
5;5;5;145;402;0;81
5;5;5;145;402;10;116
5;5;5;145;402;20;140
5;5;5;145;402;30;163
5;5;5;145;402;40;169
120;2;5;164;341;-120;2
120;2;5;164;341;-110;2
120;2;5;164;341;-100;2
120;2;5;164;341;-90;2
120;2;5;164;341;-80;4
120;2;5;164;341;-70;9
120;2;5;164;341;-60;18
120;2;5;164;341;-50;31
120;2;5;164;341;-40;51
120;2;5;164;341;-30;98
120;2;5;164;341;-20;127
120;2;5;164;341;-10;144
120;2;5;164;341;0;159
120;2;5;164;341;10;173
120;2;5;164;341;20;186
120;2;5;164;341;30;196
120;2;5;164;341;40;206
120;32;5;167;315;-120;2
120;32;5;167;315;-110;2
120;32;5;167;315;-100;2
120;32;5;167;315;-90;3
120;32;5;167;315;-80;6
120;32;5;167;315;-70;13
120;32;5;167;315;-60;28
120;32;5;167;315;-50;46
120;32;5;167;315;-40;85
120;32;5;167;315;-30;133
120;32;5;167;315;-20;162
120;32;5;167;315;-10;172
120;32;5;167;315;0;179
120;32;5;167;315;10;186
120;32;5;167;315;20;188
120;32;5;167;315;30;190
